"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"6303134","06002462112000962000008202S5","OXXO SUC 50BLF SEP CLA","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","AVENIDA","GONZALO DE SANDOVAL","CALLE","LAGUNA DE CUYUTLAN","CALLE","LAGUNA DE ALCUZAHUE","CALLE","LAGUNA DE CARRIZALILLO","710",,,,,,"COLONIA","LAS VIBORAS",,,,"28040","06","COLIMA","002","Colima","0001","Colima","0356","029",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.24764106","-103.70578043","2010-07"
"6303407","06002462112000682000008202S9","OXXO SUC 50BNE LIBERTAD CLA","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","CALLE","MACLOVIO HERRERA","CALLE","AQUILES SERDÁN","CALLE","CORREGIDORA","CALLE","BALVINO DÁVALOS","197",,,,,,"COLONIA","CENTRO",,,,"28000","06","COLIMA","002","Colima","0001","Colima","1265","010",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.25015725","-103.72797265","2010-07"
"6796440","06007462112001341000008202S0","OXXO SUC 50BST MANZANILLO CLA","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","CALLE","LLUVIA DE ORO","CALLE","PAROTA","AVENIDA","MANZANILLO","CALLE","URANO","1",,,,,,"COLONIA","ARBOLEDAS",,,,"28869","06","COLIMA","002","Colima","0001","Colima","127A","016",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.24391026","-103.73567481","2017-11"
"6846438","06002462112001442000008202S7","OXXO SUC 50C2L UNIDAD MORELOS CLA","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","BOULEVARD","CAMINO REAL DE COLIMA","CALLE","UNIVERSIDAD","CALLE","LUIS SPOTA","CALLE","JAIME NUNÓ","445",,,,,,"COLONIA","JOSE MARIA MORELOS",,,,"28010","06","COLIMA","002","Colima","0001","Colima","0290","001",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.25329358","-103.70070351","2018-03"
"6796406","06002462112001411000008202S2","OXXO SUC 50CJX SAN RAFAEL CLA","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","CALLE","JALISCO","CALLE","LEÓN","AVENIDA","MÉRIDA","CALLE","MORELOS","1442",,,,,,"COLONIA","SAN RAFAEL",,,,"28048","06","COLIMA","002","Colima","0001","Colima","0958","025",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.23346431","-103.69669203","2017-11"
"6303959","06002462112000081000008202S4","OXXO SUC 50CTG CENTRO COLIMA CLA","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","CALLE","PROFESOR GREGORIO TORRES QUINTERO","CALLE","VENUSTIANO CARRANZA","CALLE","NIGROMANTE","CALLE","5 DE MAYO","62",,,,,,"COLONIA","CENTRO",,,,"28000","06","COLIMA","002","Colima","0001","Colima","0746","023",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.24420389","-103.72891671","2010-07"
"6303958","06002462112000071000008202S5","OXXO SUC 50DJK SEVILLA DEL RIO CLA","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","AVENIDA","FELIPE SEVILLA DEL RÍO","CALLE","27 DE SEPTIEMBRE","CALLE","JUAN ÁLVAREZ","CALLE","PABLO NERUDA","110",,,,,,"COLONIA","LOMAS DE CIRCUNVALACIÓN",,,,"28010","06","COLIMA","002","Colima","0001","Colima","0322","050",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.25529655","-103.71581378","2010-07"
"6791794","06002462112001372000008202S6","OXXO SUC 50DPW BRIZUELA CLA","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","AVENIDA","ANASTASIO BRIZUELA","CALLE","JUAN N. SALAZAR","CALLE","GENERAL SÓSTENES ROCHA","CALLE","FRESNO","493",,,,,,"COLONIA","LA ALBARRADA",,,,"28078","06","COLIMA","002","Colima","0001","Colima","1528","016",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.23990043","-103.73947802","2017-03"
"6303957","06002462112000201000008202S8","OXXO SUC 50DYR DEL RIO CLA","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","AVENIDA","FELIPE SEVILLA DEL RÍO","AVENIDA","IGNACIO SANDOVAL","CALLE","GENERAL SILVERIO NÚÑEZ","CALLE","AGUSTÍN SANTA CRUZ","349",,,,,,"COLONIA","JARDINES DE VISTA HERMOSA",,,,"28017","06","COLIMA","002","Colima","0001","Colima","0820","027",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.25309922","-103.71259469","2010-07"
"6303133","06002462112000793000008202S4","OXXO SUC 50EBM MILENIO CLA","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","CALLE","NINGUNO","CALLE","SONORA","CALLE","TAMAULIPAS","CALLE","NINGUNO","350",,,,,,"COLONIA","SANTA AMALIA",,,,"28048","06","COLIMA","002","Colima","0001","Colima","0962","043",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","19.23042564","-103.70388686","2013-07"
